Version,id,Level,M3 start,M3 finish,Crystall free,Get gold,Get food,Get stuff,Buy gold,Buy food,Buy stuff,Get bonus,Buy bonus,Quest complete,Buy energy,Buy charge,Buy amulet,Collection complete
v2,958203,1,5,5,5,1069,0,0,0,0,0,0,0,2,0,0,0,0
v1,519908,10,184,156,19,57252,28704,25584,1145,861,512,76,9,16,4,12,6,4
v2,888712,7,93,78,17,30186,8112,5928,1207,406,59,10,27,13,6,4,5,3
v1,571031,4,38,32,11,6784,1184,1768,271,83,0,16,6,10,0,3,0,2
v2,911796,3,27,26,9,4966,780,0,248,47,0,0,5,4,1,0,0,0
v1,574157,6,68,57,13,16872,4845,3192,1012,291,96,27,7,9,1,4,4,2
v1,695773,10,197,169,24,65572,27040,25857,1311,1352,517,83,14,22,12,8,4,4
v1,589353,5,93,60,13,16320,5280,2820,979,317,56,28,30,8,4,2,3,2
v2,929046,4,36,31,11,7130,1302,2635,285,39,0,3,7,10,0,2,0,2
v1,565193,1,5,5,5,1058,0,0,0,0,0,0,0,2,0,0,0,0
v1,534542,3,33,30,9,7140,1500,0,286,90,0,0,6,4,2,0,2,0
v1,503608,4,31,26,9,5174,832,2014,259,42,0,13,5,8,3,2,1,2
v1,665463,3,35,33,9,7194,1485,0,432,89,0,0,7,4,2,0,0,0
v2,977018,4,38,33,10,6468,1353,3003,194,41,0,4,7,5,2,3,1,2
v1,539872,5,83,48,10,14064,4224,1632,563,296,65,23,22,6,5,1,3,2
v1,670165,7,96,85,18,33150,9860,5865,1326,789,235,38,13,14,5,5,3,3
v2,980200,1,5,5,5,1072,0,0,0,0,0,0,0,2,0,0,0,0
v2,973412,10,196,147,28,61005,33075,25578,366,662,205,22,51,15,7,15,2,8
v1,659824,4,38,33,9,5049,1386,1726,303,69,0,17,7,3,2,2,2,2
v2,985707,6,60,45,13,15660,3690,3465,157,74,104,9,14,9,7,6,7,3
v1,534523,1,5,5,5,1060,0,0,0,0,0,0,0,2,0,0,0,0
v2,979920,4,35,29,11,6293,1334,2494,252,53,0,5,7,6,0,3,2,2
v1,665463,1,4,4,5,1064,0,0,0,0,0,0,0,2,0,0,0,0
v1,603300,8,162,96,14,33024,10176,11520,1651,814,346,41,36,16,8,4,5,3
v1,670165,2,16,16,7,1808,1071,0,0,0,0,0,2,2,0,0,0,0
v1,522033,3,30,28,9,4564,1232,0,274,62,0,0,6,4,0,0,2,0
v1,668477,2,15,14,6,1120,1056,0,0,0,0,0,1,2,0,0,0,0
v1,657754,4,35,32,11,7872,992,2408,472,69,0,16,6,10,3,3,0,2
v1,527804,9,135,117,16,39663,12636,13689,1587,885,411,51,7,14,5,9,4,5
v2,987606,2,15,14,7,1498,966,0,0,0,0,0,2,2,0,0,0,0
v1,503628,2,18,18,7,1980,1051,0,0,0,0,0,2,2,0,0,0,0
v1,635533,2,16,15,6,1440,1060,0,0,0,0,0,2,2,0,0,0,0
v1,679952,3,25,23,7,5658,736,0,283,44,0,0,5,4,2,0,1,0
v2,852048,7,92,75,17,27825,7200,5250,557,216,53,8,26,14,2,4,5,3
v2,896477,1,4,4,5,1078,0,0,0,0,0,0,0,2,0,0,0,0
v2,945036,1,4,4,5,1074,0,0,0,0,0,0,0,2,0,0,0,0
v2,963037,5,100,56,15,17808,4872,2800,178,146,28,6,38,6,6,2,4,2
v2,965094,2,18,17,7,1598,901,0,0,0,0,0,2,2,0,0,0,0
v2,975730,3,31,29,7,5278,1073,0,317,64,0,0,6,4,3,0,2,0
v1,487417,5,93,60,11,17460,5280,2100,1048,422,63,28,26,11,4,3,3,2
v1,665463,6,53,46,15,12420,3772,3174,373,226,63,20,7,9,5,5,4,2
v2,929239,1,4,4,5,1072,0,0,0,0,0,0,0,2,0,0,0,0
v2,868773,1,4,4,5,1055,0,0,0,0,0,0,0,2,0,0,0,0
v1,643058,9,144,121,14,37147,15367,14157,1857,768,566,58,11,24,8,8,7,3
v2,856623,1,4,4,5,1070,0,0,0,0,0,0,0,2,0,0,0,0
v2,982407,2,16,15,5,1335,945,0,0,0,0,0,1,2,0,0,0,0
v1,610022,2,17,16,5,1472,1078,0,0,0,0,0,2,2,0,0,0,0
v2,904110,8,207,97,14,40643,13580,13192,813,272,132,12,50,10,9,6,6,4
v2,884832,8,217,104,17,38584,16120,14248,772,161,285,15,56,19,8,3,6,3
v2,870631,2,18,17,5,1547,1258,0,0,0,0,0,2,2,0,0,0,0
v2,902284,8,200,104,18,38896,16120,13624,778,322,136,14,59,17,7,4,6,3
v2,901084,3,31,29,7,6322,1044,0,379,73,0,0,6,4,2,0,0,0
v2,901949,3,30,29,7,6960,1305,0,209,91,0,0,6,4,0,0,0,0
v2,872424,2,18,17,7,1496,884,0,0,0,0,0,2,2,0,0,0,0
v2,943882,10,207,155,23,62465,31620,27280,312,632,164,25,48,28,11,11,4,7
v1,521330,4,39,35,10,6545,1505,1910,262,105,0,18,7,11,2,2,0,1
v2,963332,8,197,93,20,37851,13578,12462,379,272,125,15,53,17,5,3,7,3
v1,685224,8,163,96,19,29376,12768,11040,1763,638,221,47,33,10,5,6,4,3
v1,491297,4,37,33,10,5346,1221,2485,214,73,0,17,7,7,0,2,1,2
v2,942168,1,4,4,5,1060,0,0,0,0,0,0,0,2,0,0,0,0
v1,643779,1,4,4,5,1057,0,0,0,0,0,0,0,2,0,0,0,0
v1,604681,1,5,5,5,1066,0,0,0,0,0,0,0,2,0,0,0,0
v2,871734,2,17,16,5,1808,880,0,0,0,0,0,1,2,0,0,0,0
v2,957240,2,17,16,7,1584,1168,0,0,0,0,0,2,2,0,0,0,0
v2,951849,1,5,5,5,1078,0,0,0,0,0,0,0,2,0,0,0,0
v1,641774,2,16,15,7,1305,1067,0,0,0,0,0,2,2,0,0,0,0
v2,964676,3,34,33,9,5379,1188,0,269,83,0,0,6,4,1,0,2,0
v2,987612,4,43,37,11,5587,1924,2590,223,77,0,6,7,6,0,3,0,3
v1,681497,7,97,86,13,34142,7912,5590,2049,554,224,43,11,14,3,5,6,4
v2,885093,10,216,173,24,74909,34254,31659,449,685,222,29,52,24,11,13,6,8
v1,530036,5,94,59,12,16225,3540,2773,649,212,111,28,27,8,5,2,3,2
v2,857103,2,18,17,6,1666,1173,0,0,0,0,0,1,2,0,0,0,0
v2,926403,6,67,48,18,16512,4224,3888,165,84,78,8,18,8,6,7,5,3
v1,548249,4,30,26,9,4420,832,1650,221,58,0,13,5,3,0,2,0,1
v1,583944,6,59,53,11,13833,4823,3286,830,338,164,25,5,7,3,4,3,2
v2,893609,5,111,59,15,19588,4956,2655,196,149,80,9,40,6,6,2,3,2
v1,584567,4,40,36,9,7344,1332,1936,367,107,0,18,7,11,1,2,2,2
v1,651259,6,64,54,13,14202,5076,3132,852,254,94,22,8,9,4,7,5,3
v2,905221,4,37,31,9,6975,1798,2170,209,72,0,3,8,8,1,3,1,2
v2,886408,1,5,5,5,1053,0,0,0,0,0,0,0,2,0,0,0,0
v2,947572,2,18,17,5,1394,1275,0,0,0,0,0,2,2,0,0,0,0
v2,937831,10,220,174,17,69774,33582,31842,209,336,159,21,61,28,10,10,4,7
